store,title,platform,price,release_date
epic_games_store,HITMAN - Game of the Year Edition,PC,38.99,2020-09-03
epic_games_store,The Medium,PC,35.39,2021-01-28
epic_games_store,Into The Breach,PC,5.35,2018-02-27
epic_games_store,The Lion's Song,PC,2.27,2021-05-13
epic_games_store,Costume Quest,PC,3.56,2010-10-19
epic_games_store,Sunless Sea,PC,5.39,2021-02-25
epic_games_store,2064: Read Only Memories,PC,5.63,2021-09-28
epic_games_store,Kraken Academy,PC,5.99,2021-09-03
epic_games_store,Assassin's Creed II,PC,5.99,2020-10-06
epic_games_store,Ghost Recon Future Solider: Ultimate Edition,PC,17.99,2020-07-28
epic_games_store,20XX,PC,5.72,2020-07-30
epic_games_store,The Banner Saga Epic Trilogy,PC,22.67,2021-07-21
epic_games_store,Back 4 Blood: Standard Edition,PC,35.99,2021-10-12
epic_games_store,The Riftbreaker,PC,8.99,2021-10-14
epic_games_store,INDUSTRIA,PC,6.35,2021-09-30
epic_games_store,The Alien Cube,PC,5.63,2021-10-14
epic_games_store,Rayman Origins,PC,5.99,2021-02-04
epic_games_store,Superliminal,PC,7.14,2019-11-12
epic_games_store,Red Dead Redemption 2,PC,38.39,2019-11-05
epic_games_store,Tony Hawk's™ Pro Skater™ 1 + 2,PC,30.31,2020-09-04
epic_games_store,Detroit: Become Human,PC,22.79,2019-12-12
epic_games_store,Townscaper,PC,1.67,2021-08-27
epic_games_store,SAMURAI SHODOWN NEOGEO COLLECTION,PC,11.62,2020-06-11
epic_games_store,Observer: System Redux,PC,8.48,2020-11-10
epic_games_store,BIOMUTANT,PC,22.67,2021-05-25
epic_games_store,Conway: Disappearance at Dahlia View,PC,8.51,2021-11-02
epic_games_store,Port Royale 4,PC,27.59,2020-09-25
epic_games_store,Genshin Impact,PC,0.0,2021-06-09
epic_games_store,Disciples: Liberation,PC,27.59,2021-10-21
epic_games_store,A Plague Tale: Innocence,PC,20.39,2019-05-14
epic_games_store,Warhammer Age of Sigmar: Storm Ground,PC,9.59,2021-09-23
epic_games_store,Nioh 2 – The Complete Edition,PC,29.99,2021-09-23
epic_games_store,Mafia: Definitive Edition,PC,26.39,2020-09-25
epic_games_store,Samurai Jack: Battle Through Time,PC,11.62,2020-07-22
epic_games_store,Transport Fever 2,PC,11.51,2021-08-18
epic_games_store,The Eternal Cylinder,PC,8.51,2021-09-30
epic_games_store,Crysis 2 Remastered,PC,8.51,2021-10-15
epic_games_store,Comanche,PC,9.59,2021-08-30
epic_games_store,Spacebase Startopia,PC,27.59,2021-03-26
epic_games_store,Hello Neighbor: Hide and Seek,PC,8.04,2018-12-07
epic_games_store,Rogue State Revolution,PC,5.51,2021-03-18
epic_games_store,ELEX,PC,13.19,2021-03-25
epic_games_store,Raji: An Ancient Epic,PC,7.14,2020-10-15
epic_games_store,Days Gone,PC,39.59,2021-05-18
epic_games_store,MotoGP™21,PC,14.39,2021-04-22
epic_games_store,Old World,PC,13.4,2020-05-05
epic_games_store,LEGO® Builder's Journey,PC,5.63,2021-06-22
epic_games_store,Horror Story: Hallowseed,PC,7.07,2021-10-28
epic_games_store,Crysis 3 Remastered,PC,8.51,2021-10-15
epic_games_store,War Mongrels,PC,11.51,2021-10-19
epic_games_store,Vampyr,PC,18.77,2018-06-05
epic_games_store,Myst,PC,8.51,2021-08-26
epic_games_store,New Super Lucky's Tale,PC,8.51,2020-08-21
epic_games_store,Stonefly,PC,6.35,2021-06-01
epic_games_store,Darksiders III,PC,25.98,2018-11-27
epic_games_store,Tannenberg,PC,7.19,2021-07-22
epic_games_store,Void Bastards,PC,7.67,2021-08-19
epic_games_store,Basingstoke,PC,8.51,2021-10-29
epic_games_store,Dark Deception,PC,5.63,2021-10-30
epic_games_store,JETT : The Far Shore,PC,8.51,2021-10-05
epic_games_store,In Sound Mind,PC,9.11,2021-09-28
epic_games_store,The Magnificent Trufflepigs,PC,3.35,2021-08-26
epic_games_store,Secret Government,PC,8.39,2021-04-15
epic_games_store,Prey,PC,21.59,2021-09-09
epic_games_store,Mundaun,PC,6.35,2021-03-16
epic_games_store,Iron Harvest,PC,8.39,2020-11-19
epic_games_store,Operencia,PC,8.04,2019-03-08
epic_games_store,Desperados III,PC,20.87,2020-06-16
epic_games_store,Night in the Woods,PC,5.63,2020-12-27
epic_games_store,The Uncertain: Light at the End,PC,2.87,2021-07-13
epic_games_store,Obduction,PC,8.51,2021-07-15
epic_games_store,Destroy all Humans!,PC,13.67,2020-07-28
epic_games_store,Haven,PC,7.07,2021-02-04
epic_games_store,State of Decay 2: Juggernaut Edition,PC,13.4,2020-03-13
epic_games_store,ARK: Survival Evolved,PC,8.51,2020-06-11
epic_games_store,Marvel's Guardians of the Galaxy,PC,35.99,2021-10-26
epic_games_store,Knockout City™,PC,17.99,2021-05-30
epic_games_store,Chivalry 2,PC,11.27,2021-06-08
epic_games_store,Saints Row®: The Third™  Remastered,PC,12.52,2020-05-22
epic_games_store,Claire de Lune,PC,11.27,2021-07-12
epic_games_store,OUTRIDERS,PC,31.19,2021-04-15
epic_games_store,Horizon Zero Dawn™ Complete Edition,PC,39.59,2020-08-07
epic_games_store,Swords of Legends Online,PC,0.0,2021-07-09
epic_games_store,Mortal Shell,PC,14.94,2020-08-18
epic_games_store,No Straight Roads,PC,7.07,2020-08-25
epic_games_store,Nuclear Throne,PC,5.03,2019-11-07
epic_games_store,Torchlight II,PC,6.72,2020-07-16
epic_games_store,Blaster Master Zero 3,PC,11.46,2021-08-26
epic_games_store,Aerial_Knight's Never Yield,PC,5.51,2021-05-19
epic_games_store,The Life and Suffering of Sir Brante,PC,5.63,2021-03-04
epic_games_store,RemiLore: Lost Girl in the Lands of Lore,PC,5.63,2021-02-12
epic_games_store,Hitchhiker - A Mystery Game,PC,7.07,2021-04-15
epic_games_store,Spectacular Sparky,PC,4.19,2021-10-20
epic_games_store,Freedom Fighters,PC,4.46,2020-09-24
epic_games_store,Amnesia:  The Dark Descent,PC,6.25,2020-04-30
epic_games_store,Missile Command: Recharged,PC,0.83,2020-06-24
epic_games_store,Shadow Man Remastered,PC,5.63,2021-04-15
epic_games_store,Loop Hero,PC,5.99,2021-03-04
epic_games_store,Sonic Mania,PC,12.47,2021-06-24
epic_games_store,Superbrothers: Sword & Sworcery EP,PC,2.23,2020-07-30
epic_games_store,Blazing Beaks,PC,4.19,2021-10-05
epic_games_store,Buddy Simulator 1984,PC,2.87,2021-09-23
epic_games_store,Super Meat Boy,PC,6.25,2010-10-20
epic_games_store,A Short Hike,PC,3.56,2020-03-04
