source,storefront,platform,title,price_usd,original_price_usd,discount_pct,product_url,release_date,review_score,genres,tags
gog,GOG,PC,Offworld Trading Company - Market Corrections,3.99,3.99,0.0,https://www.gog.com/en/game/offworld_trading_company_market_corrections,2019-02-28,,"Simulation, Strategy, Sci-fi",
gog,GOG,PC,The Excavation of Hob's Barrow - Art Book,2.99,2.99,0.0,https://www.gog.com/en/game/the_excavation_of_hobs_barrow_art_book,2022-09-28,,"Adventure, Point-and-click, Puzzle",
gog,GOG,PC,#DRIVE Rally,19.99,19.99,0.0,https://www.gog.com/en/game/drive_rally,2025-04-16,,"Racing, Arcade, Rally",
gog,GOG,PC,1000xRESIST,19.99,19.99,0.0,https://www.gog.com/en/game/1000xresist,2024-05-09,,"Adventure, Puzzle, Narrative",
gog,GOG,PC,140,0.99,4.99,80.0,https://www.gog.com/en/game/140_game,2013-10-16,36.0,"Action, Arcade, Platformer",
gog,GOG,PC,140 Soundtrack,0.99,4.99,80.0,https://www.gog.com/en/game/140_soundtrack,2017-06-20,34.0,"Action, Arcade, Platformer",
gog,GOG,PC,1428: Shadows over Silesia,3.99,19.99,80.0,https://www.gog.com/en/game/1428_shadows_over_silesia,2022-10-04,,"Action, Adventure, Fantasy",
gog,GOG,PC,1428: Shadows over Silesia - Deluxe Edition,4.67,23.37,80.0,https://www.gog.com/en/game/1428_shadows_over_silesia_deluxe_edition,2022-10-04,,"Action, Adventure, Fantasy",
gog,GOG,PC,1428: Shadows over Silesia - Tourney at the Bear Rock,3.99,7.99,50.0,https://www.gog.com/en/game/1428_shadows_over_silesia_tourney_at_the_bear_rock,2024-11-11,,"Action, Adventure, Fantasy",
gog,GOG,PC,1428: Shadows over Silesia Soundtrack,0.99,4.99,80.0,https://www.gog.com/en/game/1428_shadows_over_silesia_soundtrack,2022-10-04,,"Action, Adventure, Fantasy",
gog,GOG,PC,15 Days,9.99,9.99,0.0,https://www.gog.com/en/game/15_days,2010-06-25,30.0,"Adventure, Point-and-click, Detective-mystery",
