source,category,title,release_date,price_raw,discount_raw,product_url
steam,top_sellers,Steam Deck,"17 Jan, 2025",,,https://store.steampowered.com/app/1675200/Steam_Deck/
steam,top_sellers,Counter-Strike 2,"21 Aug, 2012",Free,,https://store.steampowered.com/app/730/CounterStrike_2/
steam,top_sellers,ARC Raiders,"30 Oct, 2025",$39.99,,https://store.steampowered.com/app/1808500/ARC_Raiders/
steam,top_sellers,Battlefield™ 6,"10 Oct, 2025",$59.49,-15%,https://store.steampowered.com/app/2807960/Battlefield_6/
steam,top_sellers,Cyberpunk 2077,"9 Dec, 2020",$15.74,-65%,https://store.steampowered.com/app/1091500/Cyberpunk_2077/
steam,specials,Euro Truck Simulator 2,"12 Oct, 2012",$2.52,-75%,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/
steam,specials,EA SPORTS FC™ 26,"26 Sep, 2025",$34.99,-50%,https://store.steampowered.com/app/3405690/EA_SPORTS_FC_26/
steam,specials,Red Dead Redemption 2,"5 Dec, 2019",$14.99,-75%,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/
steam,specials,The Witcher 3: Wild Hunt,"18 May, 2015",$2.99,-90%,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/
steam,new_and_trending,Where Winds Meet,"14 Nov, 2025",Free,,https://store.steampowered.com/app/3564740/Where_Winds_Meet/
steam,new_and_trending,Dispatch,"22 Oct, 2025",$14.99,,https://store.steampowered.com/app/2592160/Dispatch/
